9:44:59,1490190299.0,29.46,29.5347,29.455,29.53,493700.0
9:49:1,1490190541.0,29.42,29.47,29.4,29.465,279000.0
9:54:58,1490190898.0,29.41,29.43,29.37,29.42,316900.0
9:59:57,1490191197.0,29.35,29.4058,29.34,29.4058,327600.0
10:4:59,1490191499.0,29.4,29.41,29.36,29.36,350000.0
10:9:1,1490191741.0,29.385,29.42,29.37,29.395,283700.0
10:14:55,1490192095.0,29.33,29.39,29.32,29.39,355200.0
10:19:59,1490192399.0,29.35,29.36,29.33,29.34,544600.0
10:24:0,1490192640.0,29.375,29.39,29.33,29.345,204100.0
10:29:59,1490192999.0,29.37,29.39,29.35,29.37,135600.0
10:34:58,1490193298.0,29.34,29.37,29.31,29.369,283800.0
10:39:58,1490193598.0,29.39,29.42,29.3306,29.3337,402900.0
10:44:0,1490193840.0,29.38,29.44,29.36,29.395,329100.0
10:49:59,1490194199.0,29.335,29.37,29.325,29.37,279000.0
10:54:3,1490194443.0,29.335,29.35,29.33,29.335,142000.0
10:59:59,1490194799.0,29.385,29.39,29.33,29.335,259900.0
11:4:8,1490195048.0,29.355,29.38,29.345,29.38,123000.0
11:9:59,1490195399.0,29.335,29.36,29.32,29.35,197600.0
11:14:59,1490195699.0,29.33,29.35,29.32,29.335,149400.0
11:19:0,1490195940.0,29.46,29.47,29.34,29.34,437800.0
11:24:0,1490196240.0,29.5001,29.52,29.44,29.45,454200.0
11:29:59,1490196599.0,29.5,29.51,29.4701,29.5,152400.0
11:34:59,1490196899.0,29.49,29.52,29.48,29.5,170600.0
11:39:59,1490197199.0,29.52,29.52,29.485,29.485,176000.0
11:44:59,1490197499.0,29.54,29.55,29.51,29.52,461000.0
11:49:0,1490197740.0,29.525,29.54,29.51,29.54,264700.0
11:54:57,1490198097.0,29.515,29.53,29.51,29.5278,96600.0
11:59:2,1490198342.0,29.53,29.54,29.51,29.5171,348400.0
12:4:59,1490198699.0,29.57,29.57,29.52,29.53,348900.0
12:9:0,1490198940.0,29.595,29.6,29.56,29.57,474800.0
12:14:57,1490199297.0,29.57,29.6,29.57,29.595,253200.0
12:19:1,1490199541.0,29.55,29.5791,29.55,29.57,164900.0
12:24:59,1490199899.0,29.52,29.57,29.52,29.555,279600.0
12:29:0,1490200140.0,29.5,29.53,29.49,29.52,407800.0
12:34:0,1490200440.0,29.52,29.54,29.49,29.495,362100.0
12:39:57,1490200797.0,29.53,29.56,29.52,29.5263,378100.0
12:44:3,1490201043.0,29.5301,29.54,29.5,29.529,347500.0
12:49:59,1490201399.0,29.56,29.57,29.535,29.535,195700.0
12:54:0,1490201640.0,29.525,29.56,29.51,29.56,229700.0
12:59:58,1490201998.0,29.555,29.56,29.52,29.5253,169500.0
13:4:57,1490202297.0,29.52,29.559,29.49,29.5568,278300.0
13:9:57,1490202597.0,29.535,29.5353,29.5,29.52,116300.0
13:14:59,1490202899.0,29.509,29.54,29.5,29.53,226800.0
13:19:59,1490203199.0,29.5453,29.55,29.49,29.5058,249600.0
13:24:59,1490203499.0,29.545,29.58,29.53,29.54,246000.0
13:29:59,1490203799.0,29.5446,29.55,29.53,29.55,104600.0
13:34:0,1490204040.0,29.58,29.58,29.54,29.55,167300.0
13:39:58,1490204398.0,29.57,29.58,29.56,29.58,137900.0
13:44:59,1490204699.0,29.57,29.58,29.56,29.5638,104100.0
13:49:3,1490204943.0,29.52,29.575,29.52,29.5705,171400.0
13:54:59,1490205299.0,29.5233,29.53,29.51,29.529,205800.0
13:59:59,1490205599.0,29.52,29.53,29.51,29.52,212600.0
14:4:2,1490205842.0,29.545,29.55,29.51,29.52,131800.0
14:9:59,1490206199.0,29.535,29.55,29.52,29.55,241300.0
14:14:59,1490206499.0,29.5338,29.57,29.53,29.53,160800.0
